% Module: Scope, ID: c0p1t8p1cfm0
% Device: DEV7225
% Time: 2026/04/09 21:55:11
% Wave Channel 1, /dev7225/scopes/0/wave.0BWN
% Wave Channel 2, /dev7225/scopes/0/wave.1BWN
% Frequency (Hz); Wave Channel 1  Spectral Density (V/√Hz); Wave Channel 2  Spectral Density (V/√Hz)
123.8284133369191; 1.59305102443e-06; 
124.2754473200849; 2.03581998903e-06; 
124.7224813032507; 4.28648263551e-06; 
125.1695152864165; 7.26427015252e-06; 
125.6165492695822; 3.76387220058e-06; 
126.063583252748; 1.82433052487e-06; 
126.5106172359138; 1.50140488131e-06; 
126.9576512190796; 3.20473372994e-06; 
127.4046852022453; 9.78344473879e-07; 
127.8517191854111; 9.30332589633e-07; 
128.2987531685769; 3.23893004861e-06; 
128.7457871517427; 5.36817333341e-06; 
129.1928211349084; 2.67535915555e-06; 
129.6398551180742; 1.27776183945e-06; 
130.08688910124; 9.70920041254e-07; 
130.5339230844057; 3.14583553518e-06; 
130.9809570675715; 6.20593937128e-06; 
131.4279910507373; 5.77939044888e-06; 
131.8750250339031; 3.16414843837e-06; 
132.3220590170688; 3.32126160174e-06; 
132.7690930002346; 2.8423673939e-06; 
133.2161269834004; 3.39024791174e-06; 
133.6631609665662; 2.67148629973e-06; 
134.1101949497319; 4.55323015558e-06; 
134.5572289328977; 3.69430176761e-06; 
135.0042629160635; 3.2430768897e-06; 
135.4512968992292; 4.12076769862e-06; 
135.898330882395; 4.16471539211e-06; 
136.3453648655608; 8.40583652462e-06; 
136.7923988487266; 8.52777066029e-06; 
137.2394328318923; 5.33572574568e-06; 
137.6864668150581; 1.67710493315e-06; 
138.1335007982239; 3.57529916073e-06; 
138.5805347813896; 3.245214657e-06; 
139.0275687645554; 2.69132988251e-06; 
139.4746027477212; 2.01379953069e-06; 
139.921636730887; 8.87377666459e-07; 
140.3686707140527; 1.45375690863e-06; 
140.8157046972185; 3.78270033252e-06; 
141.2627386803843; 2.73239129456e-06; 
141.7097726635501; 3.85688008464e-06; 
142.1568066467158; 4.52945550933e-06; 
142.6038406298816; 1.21059747471e-06; 
143.0508746130474; 1.92694778889e-06; 
143.4979085962132; 3.92581483766e-07; 
